image,gender-dlib,gender-mtcnn,gender-retinaface,race-dlib,race-mtcnn,race-retinaface
Jennifer_Aniston_,"{'Man': np.int64(16), 'Woman': np.int64(4)}","{'Woman': np.int64(12), 'Man': np.int64(8)}","{'Woman': np.int64(12), 'Man': np.int64(8)}",{'white': np.int64(20)},"{'white': np.int64(19), 'middle eastern': np.int64(1)}","{'white': np.int64(19), 'middle eastern': np.int64(1)}"
Tom_Daschle_,{'Man': np.int64(20)},{'Man': np.int64(20)},{'Man': np.int64(20)},"{'white': np.int64(15), 'asian': np.int64(3), 'middle eastern': np.int64(1), 'latino hispanic': np.int64(1)}","{'white': np.int64(12), 'asian': np.int64(7), 'latino hispanic': np.int64(1)}","{'white': np.int64(11), 'asian': np.int64(8), 'latino hispanic': np.int64(1)}"
Alvaro_Uribe_,{'Man': np.int64(20)},{'Man': np.int64(20)},{'Man': np.int64(20)},"{'white': np.int64(19), 'middle eastern': np.int64(1)}","{'white': np.int64(19), 'asian': np.int64(1)}",{'white': np.int64(20)}
Angelina_Jolie_,"{'Woman': np.int64(14), 'Man': np.int64(6)}",{'Woman': np.int64(20)},{'Woman': np.int64(20)},"{'white': np.int64(14), 'black': np.int64(2), 'latino hispanic': np.int64(2), 'middle eastern': np.int64(1), 'asian': np.int64(1)}","{'white': np.int64(8), 'indian': np.int64(4), 'asian': np.int64(4), 'latino hispanic': np.int64(3), 'middle eastern': np.int64(1)}","{'white': np.int64(7), 'indian': np.int64(4), 'latino hispanic': np.int64(4), 'asian': np.int64(4), 'middle eastern': np.int64(1)}"
Mahmoud_Abbas_,{'Man': np.int64(20)},{'Man': np.int64(20)},{'Man': np.int64(20)},"{'middle eastern': np.int64(16), 'latino hispanic': np.int64(1), 'indian': np.int64(1), 'asian': np.int64(1), 'white': np.int64(1)}","{'middle eastern': np.int64(12), 'white': np.int64(5), 'asian': np.int64(1), 'black': np.int64(1), 'latino hispanic': np.int64(1)}","{'middle eastern': np.int64(14), 'white': np.int64(5), 'black': np.int64(1)}"
Igor_Ivanov_,{'Man': np.int64(20)},{'Man': np.int64(20)},{'Man': np.int64(20)},"{'latino hispanic': np.int64(13), 'white': np.int64(5), 'middle eastern': np.int64(2)}","{'latino hispanic': np.int64(8), 'asian': np.int64(6), 'white': np.int64(3), 'middle eastern': np.int64(3)}","{'latino hispanic': np.int64(8), 'white': np.int64(5), 'middle eastern': np.int64(4), 'asian': np.int64(3)}"
Jiang_Zemin_,"{'Man': np.int64(19), 'Woman': np.int64(1)}",{'Man': np.int64(20)},{'Man': np.int64(20)},"{'asian': np.int64(15), 'white': np.int64(5)}","{'asian': np.int64(17), 'white': np.int64(3)}","{'asian': np.int64(18), 'white': np.int64(2)}"
John_Negroponte_,{'Man': np.int64(20)},{'Man': np.int64(20)},{'Man': np.int64(20)},"{'white': np.int64(19), 'middle eastern': np.int64(1)}","{'white': np.int64(18), 'latino hispanic': np.int64(1), 'middle eastern': np.int64(1)}","{'white': np.int64(19), 'asian': np.int64(1)}"
Jacques_Chirac_,{'Man': np.int64(20)},"{'Man': np.int64(19), 'Woman': np.int64(1)}",{'Man': np.int64(20)},"{'white': np.int64(18), 'latino hispanic': np.int64(2)}","{'white': np.int64(18), 'asian': np.int64(2)}","{'white': np.int64(19), 'asian': np.int64(1)}"
Rudolph_Giuliani_,{'Man': np.int64(20)},{'Man': np.int64(20)},{'Man': np.int64(20)},{'white': np.int64(20)},{'white': np.int64(20)},{'white': np.int64(20)}
Gerhard_Schroeder_,{'Man': np.int64(20)},{'Man': np.int64(20)},{'Man': np.int64(20)},"{'white': np.int64(11), 'middle eastern': np.int64(6), 'latino hispanic': np.int64(3)}","{'white': np.int64(14), 'middle eastern': np.int64(3), 'latino hispanic': np.int64(2), 'asian': np.int64(1)}","{'white': np.int64(16), 'middle eastern': np.int64(2), 'asian': np.int64(1), 'latino hispanic': np.int64(1)}"
Jose_Maria_Aznar_,{'Man': np.int64(20)},{'Man': np.int64(20)},{'Man': np.int64(20)},"{'white': np.int64(10), 'middle eastern': np.int64(10)}","{'white': np.int64(10), 'middle eastern': np.int64(10)}","{'white': np.int64(12), 'middle eastern': np.int64(7), 'latino hispanic': np.int64(1)}"
Roh_Moo,{'Man': np.int64(20)},{'Man': np.int64(20)},{'Man': np.int64(20)},{'asian': np.int64(20)},"{'asian': np.int64(19), 'white': np.int64(1)}",{'asian': np.int64(20)}
Hamid_Karzai_,{'Man': np.int64(20)},{'Man': np.int64(20)},{'Man': np.int64(20)},"{'middle eastern': np.int64(18), 'latino hispanic': np.int64(2)}","{'middle eastern': np.int64(13), 'white': np.int64(3), 'asian': np.int64(1), 'indian': np.int64(1), 'latino hispanic': np.int64(1), 'black': np.int64(1)}","{'middle eastern': np.int64(13), 'latino hispanic': np.int64(4), 'white': np.int64(2), 'indian': np.int64(1)}"
Vladimir_Putin_,{'Man': np.int64(20)},{'Man': np.int64(20)},{'Man': np.int64(20)},"{'white': np.int64(14), 'asian': np.int64(5), 'latino hispanic': np.int64(1)}","{'white': np.int64(13), 'asian': np.int64(6), 'latino hispanic': np.int64(1)}","{'white': np.int64(13), 'asian': np.int64(5), 'latino hispanic': np.int64(1), 'middle eastern': np.int64(1)}"
Jennifer_Lopez_,"{'Woman': np.int64(17), 'Man': np.int64(3)}",{'Woman': np.int64(20)},{'Woman': np.int64(20)},"{'black': np.int64(8), 'white': np.int64(6), 'latino hispanic': np.int64(3), 'indian': np.int64(2), 'asian': np.int64(1)}","{'latino hispanic': np.int64(7), 'white': np.int64(5), 'black': np.int64(3), 'middle eastern': np.int64(2), 'asian': np.int64(2), 'indian': np.int64(1)}","{'white': np.int64(9), 'latino hispanic': np.int64(4), 'black': np.int64(4), 'indian': np.int64(1), 'middle eastern': np.int64(1), 'asian': np.int64(1)}"
Tony_Blair_,{'Man': np.int64(20)},{'Man': np.int64(20)},"{'Man': np.int64(19), 'Woman': np.int64(1)}","{'white': np.int64(15), 'asian': np.int64(2), 'latino hispanic': np.int64(2), 'middle eastern': np.int64(1)}","{'white': np.int64(18), 'middle eastern': np.int64(2)}","{'white': np.int64(17), 'middle eastern': np.int64(2), 'asian': np.int64(1)}"
Jack_Straw_,{'Man': np.int64(20)},{'Man': np.int64(20)},{'Man': np.int64(20)},"{'white': np.int64(11), 'middle eastern': np.int64(8), 'latino hispanic': np.int64(1)}","{'white': np.int64(15), 'middle eastern': np.int64(3), 'latino hispanic': np.int64(1), 'asian': np.int64(1)}","{'white': np.int64(17), 'middle eastern': np.int64(3)}"
Pete_Sampras_,{'Man': np.int64(20)},{'Man': np.int64(20)},{'Man': np.int64(20)},"{'latino hispanic': np.int64(8), 'white': np.int64(6), 'middle eastern': np.int64(5), 'black': np.int64(1)}","{'middle eastern': np.int64(11), 'white': np.int64(7), 'latino hispanic': np.int64(2)}","{'middle eastern': np.int64(10), 'white': np.int64(9), 'latino hispanic': np.int64(1)}"
Amelie_Mauresmo_,{'Man': np.int64(20)},"{'Man': np.int64(18), 'Woman': np.int64(2)}","{'Man': np.int64(18), 'Woman': np.int64(2)}","{'white': np.int64(19), 'latino hispanic': np.int64(1)}","{'white': np.int64(19), 'latino hispanic': np.int64(1)}","{'white': np.int64(19), 'latino hispanic': np.int64(1)}"
Bill_Clinton_,{'Man': np.int64(20)},{'Man': np.int64(20)},{'Man': np.int64(20)},"{'white': np.int64(18), 'latino hispanic': np.int64(1), 'asian': np.int64(1)}","{'white': np.int64(18), 'asian': np.int64(2)}","{'white': np.int64(19), 'asian': np.int64(1)}"
Nestor_Kirchner_,{'Man': np.int64(20)},{'Man': np.int64(20)},{'Man': np.int64(20)},{'white': np.int64(20)},{'white': np.int64(20)},{'white': np.int64(20)}
Naomi_Watts_,"{'Woman': np.int64(16), 'Man': np.int64(4)}",{'Woman': np.int64(20)},{'Woman': np.int64(20)},"{'white': np.int64(19), 'asian': np.int64(1)}",{'white': np.int64(20)},{'white': np.int64(20)}
Kofi_Annan_,{'Man': np.int64(20)},{'Man': np.int64(20)},{'Man': np.int64(20)},{'black': np.int64(20)},"{'black': np.int64(19), 'white': np.int64(1)}",{'black': np.int64(20)}
Luiz_Inacio_Lula_da_Silva_,"{'Man': np.int64(19), 'Woman': np.int64(1)}",{'Man': np.int64(20)},{'Man': np.int64(20)},"{'middle eastern': np.int64(8), 'latino hispanic': np.int64(6), 'white': np.int64(6)}","{'white': np.int64(11), 'latino hispanic': np.int64(4), 'middle eastern': np.int64(4), 'asian': np.int64(1)}","{'white': np.int64(13), 'middle eastern': np.int64(5), 'latino hispanic': np.int64(2)}"
Paul_Bremer_,{'Man': np.int64(20)},{'Man': np.int64(20)},{'Man': np.int64(20)},"{'white': np.int64(17), 'latino hispanic': np.int64(3)}","{'white': np.int64(18), 'latino hispanic': np.int64(1), 'middle eastern': np.int64(1)}","{'white': np.int64(19), 'latino hispanic': np.int64(1)}"
Carlos_Menem_,"{'Man': np.int64(19), 'Woman': np.int64(1)}",{'Man': np.int64(20)},{'Man': np.int64(20)},"{'white': np.int64(12), 'middle eastern': np.int64(5), 'latino hispanic': np.int64(3)}","{'white': np.int64(11), 'latino hispanic': np.int64(5), 'middle eastern': np.int64(4)}","{'white': np.int64(9), 'middle eastern': np.int64(5), 'latino hispanic': np.int64(5), 'asian': np.int64(1)}"
